HLF+/+ ND			HLF+/- ND			HLF+/+ HFD			HLF+/- HFD		
0.940129	0.396942	1.159337	0.328872	0.152264	0.954913	0.68083	0.295081	0.864018	0.663517	0.406593	0.661616
0.961295	0.396942	1.159337	0.328872	0.152264	0.954913	0.68083	0.316528	0.901124	0.681817	0.459454	0.661616
0.989932	0.408742	1.159337	0.334916	0.152264	0.954913	0.68083	0.316528	1.0152	0.687152	0.459454	0.661616
1.007999	0.516361	1.159337	0.348065	0.152264	0.954913	0.68083	0.31798	1.131644	0.687152	0.459454	0.661616
1.07275	0.643941	1.159337	0.357508	0.155314	0.954913	0.68083	0.334075	1.237406	0.687152	0.459454	0.661616
1.105809	0.692811	1.159337	0.357913	0.161347	0.954913	0.68083	0.464919	1.256433	0.700773	0.459454	0.661616
1.105809	0.692811	1.159337	0.357913	0.265392	0.954913	0.68083	0.49581	1.256433	0.770868	0.459454	0.681586
1.105809	0.692811	1.159337	0.357913	0.412993	0.954913	0.68083	0.49581	1.256433	0.797137	0.467493	0.715496
1.105809	0.692811	1.159337	0.408949	0.470352	0.965018	0.68083	0.49581	1.256433	0.797137	0.537978	0.715916
1.105809	0.692811	1.159337	0.520468	0.470352	1.175094	0.68083	0.49581	1.256433	0.797137	0.620072	0.715916
1.105809	0.692811	1.159337	0.531095	0.470352	1.449817	0.68083	0.546883	1.256433	0.797137	0.647187	0.715916
1.105809	0.692811	1.159337	0.531095	0.475949	1.519997	0.68083	0.651446	1.256433	0.797137	0.647187	0.715916
1.108683	0.692811	1.159337	0.531095	0.488069	1.519997	0.68083	0.756016	1.256433	0.797137	0.647187	0.715916
1.125333	0.692811	1.159337	0.545782	0.488217	1.519997	0.682931	0.849282	1.256433	0.831369	0.647187	0.715916
1.177856	0.692811	1.159337	0.56473	0.488217	1.519997	0.686358	0.864247	1.256433	0.899604	0.647187	0.715916
1.243721	0.692811	1.159337	0.56473	0.488217	1.519997	0.686358	0.864247	1.258035	0.96784	0.647187	0.715916
1.243736	0.740918	1.159337	0.56473	0.488217	1.519997	0.686358	0.864247	1.272553	1.036075	0.649763	0.715916
1.243736	0.884338	1.247094	0.565354	0.488217	1.519997	0.686358	0.864247	1.301221	1.104308	0.733617	0.715916
1.243736	0.90271	1.353526	0.601549	0.488217	1.519997	0.693127	0.864247	1.424622	1.137859	0.839316	0.715916
1.243736	0.90271	1.354006	0.658341	0.488217	1.519997	0.713254	0.864247	1.555514	1.137859	0.853146	0.715916
1.243736	0.90271	1.354006	0.715132	0.490014	1.519997	0.718471	0.864247	1.683744	1.137859	0.853146	0.716026
1.250202	0.90271	1.354006	0.770219	0.508516	1.519997	0.718471	0.868466	1.725455	1.137859	0.853146	0.777976
1.28744	0.90271	1.354006	0.786405	0.516545	1.519997	0.718471	0.945253	1.725455	1.137859	0.853146	0.891846
1.304303	0.90271	1.354006	0.786405	0.516545	1.519997	0.718471	0.956715	1.725455	1.137859	0.853146	0.981036
