HLF+/+HFD			HLF-/-HFD		
0.043798	0.044654	0.039102	0.061394	0.0735	0.056306
0.036189	0.045998	0.041549	0.065236	0.067672	0.045252
0.043657	0.046098	0.045171	0.070924	0.060992	0.047505
0.041435	0.044672	0.047429	0.074469	0.063244	0.048092
0.040511	0.042332	0.04404	0.069147	0.066435	0.055128
0.041382	0.044121	0.04167	0.065426	0.049852	0.056562
0.043561	0.048764	0.042236	0.066315	0.059606	0.053906
0.044252	0.046774	0.041556	0.065247	0.056555	0.055667
0.036504	0.042468	0.043806	0.06878	0.058024	0.056699
0.038369	0.043978	0.048798	0.076618	0.059182	0.053274
0.038958	0.049998	0.043761	0.06871	0.051275	0.052768
0.03998	0.046506	0.040756	0.063992	0.05277	0.051366
0.039267	0.050611	0.04365	0.068536	0.06505	0.050233
0.039971	0.049504	0.040928	0.064262	0.055778	0.059039
0.04115	0.047155	0.044582	0.069999	0.065691	0.066873
0.040647	0.047682	0.040014	0.062826	0.055453	0.053609
0.040052	0.048721	0.05039	0.079117	0.064065	0.057938
0.041247	0.048664	0.057875	0.09087	0.056559	0.057132
0.043783	0.053095	0.049838	0.078251	0.060259	0.058552
0.043095	0.04787	0.048309	0.07585	0.068547	0.056507
0.042614	0.048845	0.053937	0.084687	0.077154	0.052222
0.040418	0.049875	0.06014	0.094426	0.070383	0.046276
0.039846	0.058013	0.058618	0.092037	0.066631	0.062699
0.043701	0.05296	0.059806	0.093902	0.061168	0.06733
0.039632	0.052604	0.058184	0.091355	0.066234	0.066216
0.03968	0.04987	0.044133	0.069294	0.070836	0.058824
0.040485	0.046131	0.052647	0.082662	0.064012	0.055135
0.041245	0.045808	0.046511	0.073028	0.059157	0.059373
0.039188	0.047225	0.05063	0.079494	0.06089	0.066843
0.040238	0.052159	0.040883	0.06419	0.062391	0.087348
0.047247	0.053864	0.053423	0.08388	0.073271	0.085434
0.04837	0.048674	0.056827	0.089224	0.070037	0.075319
0.044361	0.05594	0.063763	0.100114	0.068308	0.071822
0.042052	0.060913	0.068838	0.108083	0.05826	0.073592
0.041145	0.061714	0.060875	0.09558	0.065307	0.066833
0.041631	0.068813	0.060027	0.094249	0.086222	0.067913
0.045826	0.068911	0.062048	0.097422	0.069543	0.066269
0.045017	0.061632	0.060683	0.095278	0.068815	0.059288
0.041854	0.071895	0.061849	0.09711	0.073333	0.066848
0.03898	0.05921	0.051482	0.080833	0.064816	0.073172
0.042103	0.062572	0.063171	0.099185	0.074285	0.068811
0.042994	0.06426	0.055438	0.087044	0.090801	0.058897
0.042968	0.053907	0.065887	0.103449	0.079464	0.060911
0.049021	0.049863	0.063551	0.099782	0.073747	0.064001
0.048209	0.051554	0.064852	0.101825	0.057242	0.073427
0.042976	0.052227	0.056395	0.088546	0.06052	0.070215
0.047825	0.04987	0.048676	0.076427	0.066608	0.069706
0.041941	0.04976	0.054943	0.086267	0.080118	0.061397
0.046529	0.052915	0.066778	0.104849	0.075081	0.060567
0.053439	0.056516	0.064153	0.100726	0.080871	0.070216
0.053111	0.055633	0.04591	0.072084	0.063178	0.057104
0.045957	0.060029	0.067273	0.105626	0.071866	0.050838
0.041572	0.061696	0.060842	0.095529	0.077661	0.059946
0.049303	0.063049	0.051389	0.080686	0.078279	0.053086
0.049273	0.068012	0.041377	0.064966	0.072228	0.045877
0.041143	0.087927	0.090471	0.042049	0.082766	0.056606
0.039071	0.059175	0.05641	0.08857	0.073707	0.062672
0.04557	0.064762	0.055187	0.08665	0.073429	0.058238
0.044381	0.074959	0.060731	0.095354	0.074167	0.068213
0.044317	0.06361	0.064244	0.10087	0.059382	0.076872
