HLF+/+HFD			HLF-/-HFD		
0.715333	0.710532	0.733289	0.778369	0.729309	0.690153
0.706322	0.708342	0.755507	0.7921	0.721574	0.693539
0.70418	0.718291	0.743408	0.75703	0.68431	0.662016
0.700551	0.74215	0.755268	0.742896	0.690025	0.694812
0.660838	0.749107	0.777726	0.738476	0.667525	0.660619
0.665684	0.722688	0.783903	0.729391	0.684209	0.635095
0.659102	0.731732	0.730629	0.705091	0.67838	0.696755
0.636063	0.747045	0.739455	0.693837	0.673349	0.749198
0.632538	0.746522	0.727115	0.658005	0.672382	0.700021
0.62869	0.752909	0.738163	0.674012	0.639718	0.657826
0.643124	0.753312	0.718182	0.712822	0.687045	0.740869
0.654247	0.75721	0.721132	0.690724	0.659845	0.72364
0.660938	0.753461	0.714066	0.714611	0.708299	0.763633
0.695881	0.76481	0.716059	0.697592	0.696019	0.749153
0.701612	0.760183	0.711993	0.697795	0.723877	0.77768
0.680527	0.719214	0.691894	0.671102	0.713777	0.752299
0.677927	0.710011	0.69775	0.701782	0.706392	0.760055
0.70438	0.703255	0.708644	0.710954	0.726872	0.755791
0.738635	0.723768	0.701154	0.687916	0.732664	0.732499
0.733799	0.73006	0.717494	0.700475	0.725376	0.751277
0.716095	0.741277	0.732309	0.699236	0.713298	0.733245
0.719757	0.702002	0.760071	0.688976	0.66049	0.705584
0.67782	0.69806	0.796475	0.748256	0.707208	0.692735
0.684005	0.69706	0.779278	0.758008	0.674766	0.722255
0.66722	0.705206	0.777364	0.697279	0.656539	0.697222
0.680873	0.712843	0.765021	0.700017	0.67152	0.695008
0.680249	0.721023	0.782604	0.724763	0.699433	0.701405
0.688257	0.70914	0.784903	0.719137	0.643877	0.702257
0.702766	0.703817	0.743697	0.727811	0.652438	0.72391
0.691798	0.716	0.747636	0.713974	0.668742	0.682322
0.671267	0.681175	0.727118	0.71761	0.67677	0.647208
0.684377	0.680994	0.742019	0.709909	0.684701	0.669008
0.695552	0.712367	0.753751	0.726091	0.706317	0.697641
0.711488	0.713603	0.730308	0.751491	0.679219	0.734554
0.681077	0.700377	0.70907	0.685791	0.674418	0.68607
0.749075	0.692359	0.685836	0.702012	0.68727	0.683942
0.753644	0.705016	0.687069	0.692157	0.670596	0.679976
0.72851	0.688406	0.691513	0.691792	0.695826	0.722749
0.748959	0.694656	0.684822	0.681179	0.722356	0.759407
0.760351	0.674634	0.679802	0.677851	0.725715	0.71661
0.730448	0.668206	0.652955	0.676496	0.747858	0.710857
0.717522	0.69333	0.695321	0.693088	0.734076	0.696847
0.73814	0.687407	0.736169	0.722458	0.712125	0.71114
0.732507	0.69139	0.699113	0.714415	0.70441	0.683995
0.706592	0.680523	0.664291	0.693436	0.719123	0.705093
0.642545	0.677356	0.657712	0.71099	0.744289	0.717503
0.651211	0.675718	0.65395	0.723574	0.732709	0.700723
0.663899	0.681064	0.675961	0.714948	0.688641	0.702983
0.661626	0.661635	0.659023	0.697432	0.684822	0.744316
0.66382	0.658869	0.675828	0.709916	0.721683	0.730389
0.667569	0.679338	0.669435	0.707551	0.74587	0.741552
0.660454	0.662683	0.684667	0.713662	0.723688	0.73152
0.636834	0.680799	0.673088	0.704884	0.762657	0.808299
0.62309	0.699358	0.672549	0.71938	0.806577	0.798992
0.622994	0.679509	0.686148	0.717449	0.767985	0.758773
0.646948	0.680536	0.64414	0.699741	0.768619	0.745989
0.645377	0.673768	0.695547	0.691569	0.78125	0.738364
0.649476	0.659708	0.665266	0.669083	0.775315	0.723249
0.653363	0.670916	0.700252	0.70609	0.762008	0.745942
0.654385	0.658216	0.748861	0.705471	0.74432	0.767357
0.658338	0.665643	0.724498	0.719099	0.78253	0.746266
0.653595	0.665552	0.726632	0.695559	0.75183	0.730898
0.648634	0.689423	0.775613	0.711319	0.716035	0.737845
0.659646	0.72219	0.748849	0.721098	0.696684	0.72232
0.655309	0.69963	0.77152	0.698704	0.683673	0.699248
