Fatty acid	Both	Carbohydrate	RNA-seq	
ANKS1A	SLC27A2	STXBP6	ZNF217	
LOC123572924	MAPK6	PRKD1	ENSMFAG00000058821	
FKBP5	TPM1	AKAP6	ENSMFAG00000064406	
SRPK1	AAGAB	PRORP	RC3H2	
NFYA	ARIH1	BRMS1L	ATP7A	
XPO5	NPTN	MIPOL1	ENSMFAG00000043936	
CDC5L	HMG20A	PNN	FCER1G	
SUPT3H	LOC102130784	WDHD1	YES1	
MCM3	HYKK	FBXO34	CD28	
TRAM2	ZFAND6	PELI2	PREX1	
FAM83B	SLC28A1	MNAT1	KRT7	
PRIM2	MCTP2	SYNE2	CCR9	
SENP6	ARRDC4	MTHFD1	TOMM40L	
LOC102145910	LRRC28	FUT8	ENSMFAG00000050203	
BCKDHB	MEF2A	GPHN	ADAMTS14	
UBE3D	TEP1	RAD51B	PTCD2	
ME1	HNRNPC	SIPA1L1	TCN1	
LOC102145909	SLC7A7	RGS6	C7	
RARS2	SLC7A8	DPF3	MPV17L	
ORC3	STRN3	CEP128	ENSMFAG00000047776	
RNGTT	HEATR5A	TC2N	MAML1	
MDN1	GCH1	VRK1	RSPH6A	
CASP8AP2	FBXO34	TRAF3	FAM83G	
KLHL32	DAAM1	KBTBD11	ENSMFAG00000058187	
MMS22L	PCNX4	AGPAT5	ENSMFAG00000054257	
USP45	MNAT1	PINX1	MAP3K2	
HACE1	LOC123574551	MSRA	LIPA	
LOC102129705	PPP2R5E	ERI1	COLEC10	
PDSS2	PALS1	MFHAS1	NUS1	
SEC63	SUSD6	SLC7A2	EVI2B	
TULP4	LOC102115550	SLC25A37	ENSMFAG00000060572	
SYNJ2	LOC102121295	EPHX2	LPCAT2	
TMEM242	PCNX1	WRN	PTPN9	
ARID1B	SIPA1L1	SPIDR	SHMT1	
TFB1M	RGS6	PRKDC	PIK3CG	
MTRF1L	DPF3	TOX	LRATD2	
MTHFD1L	NUMB	CHD7	ZBTB21	
SASH1	TMED10	NCOA2	HK2	
SAMD5	KCNK10	ZNF704	CD14	
LOC102141158	ITPK1	CIBAR1	CCDC13	
HIVEP2	GSKIP	RAD54B	C5	
ARFGEF3	SETD3	LOC102137935	CCL13	
MAP3K5	CCDC85C	SDC2	GLUL	
AHI1	FBXO25	CPQ	LAP3	
MYB	KBTBD11	STK3	SCN4B	
EPB41L2	FDFT1	VPS13B	ENSMFAG00000051811	
PTPRK	GATA4	RIMS2	ENSMFAG00000061272	
ECHDC1	SLC7A2	EXT1	ENSMFAG00000048462	
RNF217	PSD3	SAMD12	HACD3	
PKIB	SLC25A37	DEPTOR	S100A3	
FAM184A	EPHX2	ATAD2	CELF1	
MCM9	KIF13B	TMEM65	HEATR3	
DCBLD1	LOC123575187	NSMCE2	ENSMFAG00000060139	
NT5DC1	LYPLA1	LOC107130694	MAGT1	
REV3L	LYN	ASAP1	MARCHF1	
RPF2	NCOA2	KHDRBS3	CABP4	
AMD1	PAG1	TRAPPC9	PCSK6	
FOXO3	CDH17	ADCK5	ENSMFAG00000040145	
AFG1L	CPQ	CPSF1	ENSMFAG00000021161	
MAP3K4	EXT1	TONSL	ISX	
PRKN	DEPTOR	LOC123566756	AIF1	
QKI	TMEM65	KIFC2	PPTC7	
